Site,ID,SampleDate,Latitude,Longitude,HerbBio.g.m2,ShrubBio.g.m2,Blue,Green,Red,NIR,SWIR_1,SWIR_2,Flow,Elevation,Slope,Minimum_temperature,Maximum_temperature,peak_date
Smith,S1,2016-06-01,37.761,-120.11996,408.48,,29255,28111,28116,30262,14984,14574,56,924,2.988352398100987,283.29998779296875,305.29998779296875,2016-12-13
Smith,S10,2016-06-01,37.76184,-120.1213,421.6,,30369,29286,29317,31051,15116,14759,4,931,2.9883730790050054,283.79998779296875,306.29998779296875,2016-12-13
Smith,S11,2016-06-01,37.76198,-120.12159,445.12,,30457,29318,29371,31119,15080,14773,4,930,2.345098909820672,283.79998779296875,306.29998779296875,2016-12-13
Smith,S12,2016-06-01,37.76213,-120.12188,305.12,,30425,29325,29314,31063,15078,14764,4,929,2.521447994672465,283.79998779296875,306.29998779296875,2016-12-13
Smith,S13,2016-06-01,37.76237,-120.1217,355.52,,30548,29424,29416,31150,15078,14798,4,930,2.9883868667220237,283.79998779296875,306.29998779296875,2016-12-13
Smith,S14,2016-06-01,37.76222,-120.12142,681.76,,30659,29495,29490,31244,15107,14799,4,930,2.3451077069397828,283.79998779296875,306.29998779296875,2016-12-13
Smith,S15,2016-06-01,37.76208,-120.12113,569.76,,30520,29328,29359,31172,15123,14771,4,932,2.521447994672465,283.79998779296875,306.29998779296875,2016-12-13
Smith,S16,2016-06-01,37.76194,-120.12084,660.16,,30579,29395,29408,31178,15131,14812,56,932,3.8850808503882894,283.29998779296875,305.29998779296875,2016-12-13
Smith,S17,2016-06-01,37.76004,-120.11923,407.36,,27755,26709,26894,29246,14684,14279,56,925,5.100277091145029,283.29998779296875,305.29998779296875,2016-12-13
Smith,S18,2016-06-01,37.76015,-120.11953,353.76,,27871,26804,27020,29375,14704,14285,56,925,1.4951826848725296,283.29998779296875,305.29998779296875,2016-12-13
Smith,S19,2016-06-01,37.76026,-120.11985,593.76,,27945,26993,27154,29407,14726,14304,56,925,1.854334168853263,283.29998779296875,305.29998779296875,2016-12-13
Smith,S2,2016-06-01,37.76117,-120.12023,280.8,,29757,28678,28757,30645,15084,14711,56,926,4.381127356207329,283.29998779296875,305.29998779296875,2016-12-13
Smith,S20,2016-06-01,37.76036,-120.12016,316.64,,28482,27504,27597,29837,14848,14443,56,925,3.704791833718337,283.29998779296875,305.29998779296875,2016-12-13
Smith,S21,2016-06-01,37.76061,-120.12007,252.16,,28914,27896,27988,30046,14957,14546,56,924,2.5213989222576787,283.29998779296875,305.29998779296875,2016-12-13
Smith,S22,2016-06-01,37.76051,-120.11976,446.88,,28283,27313,27411,29651,14782,14382,56,925,1.173018716572432,283.29998779296875,305.29998779296875,2016-12-13
Smith,S23,2016-06-01,37.76041,-120.11945,251.52,,28139,27222,27388,29613,14762,14363,56,924,2.193765668408641,283.29998779296875,305.29998779296875,2016-12-13
Smith,S24,2016-06-01,37.7603,-120.11914,303.04,,28098,27132,27305,29509,14739,14352,56,923,2.521390743990264,283.29998779296875,305.29998779296875,2016-12-13
Smith,S3,2016-06-01,37.76133,-120.1205,505.76,,29878,28860,28847,30764,15138,14757,56,928,3.704791833671086,283.29998779296875,305.29998779296875,2016-12-13
Smith,S4,2016-06-01,37.7615,-120.12077,575.68,,30140,29077,29117,30958,15154,14746,56,929,3.704791833671086,283.29998779296875,305.29998779296875,2016-12-13
Smith,S5,2016-06-01,37.76172,-120.12058,370.08,,30397,29264,29268,31112,15133,14787,56,931,3.704791833718337,283.29998779296875,305.29998779296875,2016-12-13
Smith,S6,2016-06-01,37.76156,-120.12032,766.56,,30122,28993,29022,30945,15171,14744,56,930,3.704791833671086,283.29998779296875,305.29998779296875,2016-12-13
Smith,S7,2016-06-01,37.76139,-120.12005,706.56,,30161,28999,29019,30841,15151,14753,56,926,5.547544894612033,283.29998779296875,305.29998779296875,2016-12-13
Smith,S8,2016-06-01,37.76123,-120.11978,457.12,,29732,28554,28671,30594,15069,14647,56,928,12.875804345110561,283.29998779296875,305.29998779296875,2016-12-13
Smith,S9,2016-06-01,37.7617,-120.12101,484.0,,30267,29196,29262,31040,15133,14764,4,930,4.627367505919335,283.79998779296875,306.29998779296875,2016-12-13
Upper Clarks,UC10,2016-08-04,40.13574597,-120.508032,500.8,,42714,40415,39899,38415,13242,14090,253,1696,0.9274099368611016,284.29998779296875,301.79998779296875,2016-03-07
Upper Clarks,UC12,2016-08-04,40.13547499,-120.508348,591.84,,42718,40432,39943,38454,13291,14123,253,1695,3.0326096392498623,284.29998779296875,301.79998779296875,2016-03-07
Upper Clarks,UC4,2016-08-04,40.12885303,-120.503759,623.2,,42819,40459,39963,38463,13153,13986,265,1686,4.423991701825026,281.70001220703125,302.29998779296875,2016-03-07
Upper Clarks,UC2,2016-08-04,40.12923097,-120.50364,710.4,,42878,40573,40047,38531,13238,14095,5,1686,3.6865401474873862,284.29998779296875,301.79998779296875,2016-03-07
