Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC
East Creek,C21,7/1/2018,40.24314264,-120.902276,12.23277755,1.178862213,0.903706375,NA
East Creek,C23,7/1/2018,40.24300747,-120.901803,6.978088187,0.882765025,1.80741275,NA
East Creek,C5,7/1/2018,40.24382567,-120.901141,17.85788974,1.474143794,2.093100571,NA
East Creek,C8,7/1/2018,40.2435983,-120.900989,6.575828645,1.015783239,1.101938741,NA
Goodrich,R11,7/1/2018,40.3652384,-120.950044,6.312399301,0.875801497,0.892045648,NA
Goodrich,R15,7/1/2018,40.36300816,-120.953197,15.27009938,1.168847437,0.542223825,NA
Goodrich,R17,7/1/2018,40.36263427,-120.953173,14.96640347,1.172326096,0.180741275,NA
Goodrich,R22,7/1/2018,40.36268228,-120.952682,14.31633102,1.121208173,0.787099101,NA
Goodrich,R24,7/1/2018,40.3627108,-120.952175,13.37989338,1.132790677,0.075794728,NA
Goodrich,R3,7/1/2018,40.36562882,-120.949073,12.12256193,1.307618139,0.763777646,NA
Goodrich,R5,7/1/2018,40.365631,-120.94956,10.03114116,1.082685473,0.62967928,NA
Goodrich,R7,7/1/2018,40.36563256,-120.950046,9.804460952,1.189671231,0.880384921,NA
Greenville,V1,7/1/2018,40.23818046,-120.909457,9.999476007,0.983212459,1.206885288,NA
Greenville,V12,7/1/2018,40.23787941,-120.910426,15.47609271,1.210972296,2.536208214,NA
Greenville,V14,7/1/2018,40.23923895,-120.909829,13.37524014,1.16477769,2.874369309,NA
Greenville,V21,7/1/2018,40.23927026,-120.910573,14.80664437,1.138889937,2.518717123,NA
Greenville,V23,7/1/2018,40.23890324,-120.910805,12.6109549,1.049199928,4.157049325,NA
Greenville,V5,7/1/2018,40.2383362,-120.909868,14.715686,1.280212576,0.839572375,NA
Greenville,V8,7/1/2018,40.23824721,-120.910194,12.47409621,1.052210811,3.655638046,NA
Loney,L10,7/1/2018,39.42075848,-120.655334,17.93376234,1.365167672,1.613494853,NA
Loney,L11,7/1/2018,39.42299807,-120.6437,15.85924411,1.47949974,3.774635769,NA
Loney,L4,7/1/2018,39.42012524,-120.654793,14.94021713,1.291312467,7.513939534,NA
Loney,L5,7/1/2018,39.42228976,-120.645139,9.250491747,0.510477525,2.755857861,NA
Loney,L6,7/1/2018,39.42070463,-120.654992,13.2373754,1.064684542,4.673691511,NA
Loney,L7,7/1/2018,39.42301372,-120.644482,15.18910028,1.367197437,3.433093063,NA
Martis Control,MC13,7/1/2018,39.30439386,-120.106014,20.62885501,1.450234495,7.802484234,NA
Martis Control,MC15,7/1/2018,39.30384095,-120.10685,7.412203115,0.496638544,5.470571965,NA
Martis Control,MC19,7/1/2018,39.30469082,-120.106923,15.83445291,1.068748662,5.205581934,NA
Martis Control,MC21,7/1/2018,39.30454411,-120.106466,21.539195,1.534211297,4.21628582,NA
Martis Control,MC23,7/1/2018,39.30434091,-120.107112,21.6339332,1.558433605,3.044441018,NA
Martis Control,MC3,7/1/2018,39.30377892,-120.107947,26.52077539,2.084639084,3.474313734,NA
Martis Control,MC7,7/1/2018,39.3034382,-120.108135,15.08366454,0.905932229,7.508050866,NA
Martis Control,MC9,7/1/2018,39.30398804,-120.107308,16.21548602,1.137122618,5.182027265,NA
Middle Martis,MM12,7/1/2018,39.30375737,-120.112489,19.28036844,1.40548193,7.142953491,NA
Middle Martis,MM14,7/1/2018,39.30349845,-120.110056,14.64343233,1.006944152,5.28213461,NA
Middle Martis,MM18,7/1/2018,39.30322014,-120.110415,19.06577503,1.336891056,11.56534267,NA
Middle Martis,MM20,7/1/2018,39.30201298,-120.108478,8.549629111,0.692165102,2.249470926,NA
Middle Martis,MM24,7/1/2018,39.30204346,-120.108973,10.08793014,0.725988467,3.178974418,NA
Middle Martis,MM3,7/1/2018,39.30428043,-120.113822,19.39406545,1.384666404,6.12421404,NA
Middle Martis,MM5,7/1/2018,39.30399766,-120.114133,22.45213794,1.62548579,7.481131244,NA
Middle Martis,MM8,7/1/2018,39.30398376,-120.112171,15.94709147,1.177614424,7.54338287,NA
Osa,O10,7/1/2018,36.18112893,-118.307414,7.127084525,0.705026744,1.294340743,NA
