Thu Dec 21 11:36:55 2023    profile_results.prof

         565549 function calls (546044 primitive calls) in 24.293 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      180    0.000    0.000    0.001    0.000 parse.py:890(quote_from_bytes)
       60    0.000    0.000    0.001    0.000 adapters.py:113(__init__)
       60    0.000    0.000    0.004    0.000 cookies.py:118(extract_cookies_to_jar)
       30    0.000    0.000    0.001    0.000 client.py:1079(putrequest)
       10    0.000    0.000    0.003    0.000 managers.py:939(fast_xs)
      180    0.000    0.000    0.001    0.000 ssl.py:275(_dnsname_match)
       90    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_list_like}
      690    0.000    0.000    0.000    0.000 queue.py:15(_qsize)
    30/20    0.000    0.000    0.020    0.001 indexing.py:918(__getitem__)
       30    0.000    0.000    0.003    0.000 sessions.py:362(__init__)
       30    0.000    0.000    0.010    0.000 connection.py:231(request)
       30    0.000    0.000    0.001    0.000 message.py:459(<listcomp>)
      480    0.000    0.000    0.000    0.000 function.py:162(getReturnType)
       30    0.000    0.000   24.111    0.804 http.py:876(execute)
       10    0.000    0.000    0.007    0.001 generic.py:3634(xs)
       90    0.000    0.000    0.001    0.000 ntpath.py:289(expanduser)
       30    0.000    0.000    0.012    0.000 parser.py:59(parsestr)
      390    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
      408    0.000    0.000    0.000    0.000 function.py:146(<listcomp>)
       30    0.000    0.000    0.012    0.000 parser.py:41(parse)
       30    0.000    0.000    0.001    0.000 feedparser.py:139(__init__)
       30    0.000    0.000    0.002    0.000 _collections.py:141(__init__)
       90    0.000    0.000    0.000    0.000 idna.py:147(encode)
       60    0.000    0.000    0.000    0.000 retry.py:225(__init__)
     1484    0.000    0.000    0.000    0.000 apifunction.py:107(getSignature)
      300    0.000    0.000    0.001    0.000 _collections_abc.py:767(__contains__)
      104    0.000    0.000    0.001    0.000 ee_number.py:23(__init__)
       30    0.000    0.000   13.969    0.466 client.py:1327(getresponse)
      210    0.000    0.000    0.000    0.000 structures.py:59(__iter__)
       30    0.000    0.000    0.005    0.000 models.py:358(prepare_url)
     2370    0.000    0.000    0.000    0.000 {method 'isalpha' of 'str' objects}
       90    0.000    0.000    0.002    0.000 cookies.py:37(__init__)
       20    0.000    0.000    0.005    0.000 base.py:3426(get_indexer)
      120    0.000    0.000    0.000    0.000 cookiejar.py:877(__init__)
      120    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
      420    0.000    0.000    0.000    0.000 _collections_abc.py:779(items)
       70    0.000    0.000   13.954    0.199 ssl.py:1090(read)
     1708    0.000    0.000    0.000    0.000 serializer.py:406(<genexpr>)
       90    0.000    0.000    0.000    0.000 url.py:244(_remove_path_dot_segments)
      120    0.000    0.000    0.021    0.000 discovery.py:956(__init__)
      272    0.000    0.000    0.000    0.000 copy.py:242(_keep_alive)
      270    0.000    0.000    0.000    0.000 _cloud_api_utils.py:589(encode_number_as_cloud_value)
       42    0.000    0.000    0.001    0.000 featurecollection.py:31(__init__)
      360    0.000    0.000    0.001    0.000 _collections_abc.py:825(__iter__)
      540    0.000    0.000    0.000    0.000 six.py:1015(ensure_text)
       30    0.000    0.000    0.001    0.000 ssl.py:371(match_hostname)
      746    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      360    0.000    0.000    0.000    0.000 _collections.py:187(__iter__)
     1500    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       30    0.000    0.000    0.000    0.000 ssl.py:544(set_alpn_protocols)
       20    0.000    0.000    0.000    0.000 indexing.py:984(_is_scalar_access)
       30    0.000    0.000    0.001    0.000 model.py:164(_build_query)
       30    0.000    0.000    0.000    0.000 socket.py:678(__init__)
       30    0.000    0.000    0.001    0.000 feedparser.py:101(push)
      344    0.000    0.000    0.001    0.000 apifunction.py:126(lookup)
       60    0.000    0.000    0.000    0.000 ssl.py:710(verify_mode)
       30    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
       20    0.000    0.000    0.001    0.000 inspect.py:2150(_signature_from_function)
      450    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       30    0.000    0.000    7.315    0.244 connection.py:161(_new_conn)
       60    0.000    0.000    0.001    0.000 discovery.py:1518(_add_next_methods)
       60    0.000    0.000    0.000    0.000 ee_list.py:23(__init__)
      390    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       20    0.000    0.000    0.018    0.001 indexing.py:1132(_getitem_axis)
      120    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
       60    0.000    0.000    0.039    0.001 discovery.py:1495(methodResource)
       60    0.000    0.000    0.001    0.000 parse.py:912(urlencode)
       90    0.000    0.000    0.000    0.000 threading.py:228(__init__)
       10    0.000    0.000    0.018    0.002 indexing.py:813(_getitem_lowerdim)
       30    0.000    0.000    2.293    0.076 ssl.py:1302(do_handshake)
       30    0.000    0.000   24.108    0.804 http.py:150(_retry_request)
       20    0.000    0.000    0.019    0.001 customfunction.py:129(_resolveNamelessArgs)
       30    0.000    0.000    0.001    0.000 client.py:249(__init__)
      660    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      390    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      270    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       30    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
      120    0.000    0.000    0.001    0.000 contextlib.py:123(__exit__)
      330    0.000    0.000    0.000    0.000 queue.py:21(_get)
      180    0.000    0.000    0.000    0.000 schema.py:86(_prettyPrintByName)
       30    0.000    0.000    0.001    0.000 response.py:40(assert_header_parsing)
       30    0.000    0.000    0.000    0.000 utils.py:482(_parse_content_type_header)
      690    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
    20/10    0.000    0.000    0.001    0.000 geometry.py:29(__init__)
       30    0.000    0.000    9.916    0.331 connectionpool.py:1002(_validate_conn)
       60    0.000    0.000    0.018    0.000 models.py:823(content)
      220    0.000    0.000    0.001    0.000 {built-in method builtins.all}
       60    0.000    0.000    0.001    0.000 ssl_.py:457(is_ipaddress)
