Thu Dec 21 11:35:20 2023    profile_results.prof

         573283 function calls (552838 primitive calls) in 17.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      210    0.000    0.000    0.001    0.000 utils.py:314(to_key_val_list)
      270    0.000    0.000    0.001    0.000 url.py:302(_idna_encode)
       20    0.000    0.000    0.001    0.000 {pandas._libs.lib.infer_dtype}
      400    0.000    0.000    0.001    0.000 apifunction.py:126(lookup)
       70    0.000    0.000   12.343    0.176 ssl.py:1230(recv_into)
       30    0.000    0.000    0.001    0.000 client.py:1079(putrequest)
       30    0.000    0.000    0.020    0.001 sessions.py:430(prepare_request)
       20    0.000    0.000    0.001    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
       30    0.000    0.000   17.147    0.572 data.py:1027(computeValue)
      120    0.000    0.000    0.001    0.000 ee_number.py:23(__init__)
      440    0.000    0.000    0.000    0.000 function.py:146(<listcomp>)
      120    0.000    0.000    0.002    0.000 url.py:274(_normalize_host)
      150    0.000    0.000    0.001    0.000 enum.py:971(__or__)
       90    0.000    0.000    0.002    0.000 cookies.py:508(cookiejar_from_dict)
       30    0.000    0.000    0.004    0.000 utils.py:175(get_netrc_auth)
     1660    0.000    0.000    0.000    0.000 apifunction.py:107(getSignature)
      520    0.000    0.000    0.001    0.000 function.py:162(getReturnType)
       30    0.000    0.000    0.016    0.001 parser.py:59(parsestr)
  210/130    0.000    0.000    0.019    0.000 ee_number.py:70(encode_cloud_value)
       30    0.000    0.000    0.001    0.000 feedparser.py:139(__init__)
     2300    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
    30/20    0.000    0.000    0.022    0.001 indexing.py:918(__getitem__)
      120    0.000    0.000    0.001    0.000 message.py:29(_splitparam)
       30    0.000    0.000    0.016    0.001 parser.py:41(parse)
       90    0.000    0.000    0.003    0.000 cookies.py:37(__init__)
       30    0.000    0.000   17.005    0.567 http.py:876(execute)
      120    0.000    0.000    0.025    0.000 discovery.py:956(__init__)
       10    0.000    0.000    0.003    0.000 managers.py:939(fast_xs)
      300    0.000    0.000    0.001    0.000 _collections_abc.py:767(__contains__)
     2370    0.000    0.000    0.000    0.000 {method 'isalpha' of 'str' objects}
      690    0.000    0.000    0.000    0.000 queue.py:15(_qsize)
      180    0.000    0.000    0.001    0.000 parse.py:890(quote_from_bytes)
       30    0.000    0.000    0.004    0.000 connectionpool.py:168(__init__)
     1708    0.000    0.000    0.000    0.000 serializer.py:406(<genexpr>)
