Site,ID,SampleDate,Latitude,Longitude,HerbBio.g.m2,ShrubBio.g.m2,Blue,Green,Red,NIR,SWIR_1,SWIR_2,peak_date,Driver,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDSI,dNDPI
Calf,CP2,2022-08-03,38.93819798,-120.292089,155.2,,0.0382325,0.061634999999999995,0.06149749999999998,0.30495500000000003,0.2422825,0.14067000000000002,2022-07-15,LANDSAT_9,4853,2023.5753173828125,5540,51,2.1598687745617116,0.0,1031,159,0,284.2049560546875,300.7425842285156,4.947756956274845,4.958819464205864,0.6643630484169164,0.1145252289910688,0.43875821463617726,0.4214729024383911,-0.06091109677070338,-0.59439650563064,0.519879468232822,9.867808125000002,14.3660725,16.19516625,50.138292500000006,48.28680687499999,30.555013125000002,105.43354396866737,2.6765036578205983,62.27671839130909,61.780009887622754,8.533683186246659,-113.24877722985035,77.03936367307531
Calf,CP3,2022-08-03,38.93796999,-120.291932,140.32,,0.06553999999999999,0.08971249999999997,0.10898999999999998,0.28097500000000003,0.29137,0.21530500000000002,2022-07-07,LANDSAT_8,4854,2022.4681396484375,5541,51,1.8816870710594746,0.0,1031,160,0,284.2126770019531,300.7486572265625,3.131949282429986,2.5779888063125065,0.44102675881168835,-0.01816212249604694,0.2978889608657548,0.28987375908041335,0.07209372384937236,-0.5291701928060198,0.28668170523849695,12.142255624999999,16.88110375,20.992529062499997,44.5454815625,52.587475,39.734714062500004,72.26282179564919,-17.21192348368436,41.87143473536007,42.45507387534141,27.05844916860181,-104.384328593844,41.15856698748978
Calf,CP4,2022-08-03,38.93810402,-120.291633,73.12,,0.07186500000000001,0.09837499999999999,0.11196,0.30072000000000004,0.37876499999999996,0.2516875,2022-06-13,LANDSAT_9,4852,2022.48291015625,5535,53,1.9320942015311413,0.0,1027,159,0,284.1952209472656,300.734375,3.0568742058449816,2.6859592711682745,0.45740040709508584,-0.11485904766109616,0.32919600207186306,0.3102292150589473,0.13684539736595186,-0.5876472314205474,0.26843232908040976,11.962961875000001,16.3382428125,20.724791875,45.8264790625,64.89508562500001,45.161783437500006,75.74177850984587,-34.76706022184622,44.844232915268975,45.213725459644365,39.13871486477194,-120.29963706163824,36.976898013842586
Calf,CP5,2022-08-03,38.93833897,-120.291793,103.68,,0.0592975,0.08814499999999997,0.0871825,0.34890000000000004,0.36251249999999996,0.231035,2022-06-13,LANDSAT_9,4852,2023.605224609375,5536,54,2.223099135672806,0.0,1027,159,0,284.18756103515625,300.7283935546875,3.9582506097906873,4.001949932612623,0.6001559337969307,-0.019134468399135404,0.4584252560187282,0.4193821057438848,0.04837144514027097,-0.6088160077220506,0.39733940809519697,10.956476874999998,15.737234999999998,18.94930375,51.4556065625,61.29307843750001,39.531242187500006,94.06333186893173,-18.274356773137157,57.70797951032337,57.52729702205593,25.67116667887209,-121.69245736656683,59.35751935032016
Calf,CP6,2022-08-03,38.93859202,-120.29196,327.68,,0.044584999999999986,0.07695249999999998,0.0633125,0.387565,0.287795,0.1579125,2022-06-13,LANDSAT_9,4853,2024.70751953125,5540,50,2.511330087338074,0.0,1031,159,0,284.1972351074219,300.73651123046875,5.036418569897016,6.1214610069101685,0.7191587515455972,0.14772861881070834,0.5656675174147493,0.511505162336894,-0.10346852727232099,-0.5780505692293986,0.5738632268125072,10.288558124999998,15.043851250000001,17.0313175,54.52538125,54.243313750000006,33.460979375,106.59092425416915,-2.4423921767495003,67.01108679838904,65.6853892123834,11.712061233614072,-119.40196737411348,75.46084092249008
Calf,CP7,2022-08-03,38.938734,-120.291689,203.84,,0.044584999999999986,0.07695249999999998,0.0633125,0.387565,0.287795,0.1579125,2022-06-13,LANDSAT_9,4850,2026.3084716796875,5536,54,2.7005827630909907,0.0,1027,159,0,284.17230224609375,300.7164306640625,5.036418569897016,6.1214610069101685,0.7191587515455972,0.14772861881070834,0.5656675174147493,0.511505162336894,-0.10346852727232099,-0.5780505692293986,0.5738632268125072,10.288558124999998,15.043851250000001,17.0313175,54.52538125,54.243313750000006,33.460979375,106.59092425416915,-2.4423921767495003,67.01108679838904,65.6853892123834,11.712061233614072,-119.40196737411348,75.46084092249008
Calf,CP8,2022-08-03,38.938503,-120.291504,201.28,,0.040047499999999986,0.058555000000000024,0.06155250000000001,0.2588925,0.26717,0.17116750000000003,2022-07-07,LANDSAT_8,4851,2024.8134765625,5536,54,2.576918589067862,0.0,1027,159,0,284.179931640625,300.722412109375,4.421355990094781,4.206043621298891,0.615831109862847,-0.015734822383271934,0.3715401103851052,0.36079200921451166,0.0474498635811444,-0.640463581241845,0.4044460767135118,8.7345078125,11.760078437499999,14.737355625,39.110007499999995,50.7405653125,33.60353125,91.11908406234545,-27.483430712589627,46.09885355777102,47.455972264736374,32.878843144106696,-127.65093154123119,51.01266240428219
Calf,CP9,2022-08-03,38.93825699,-120.291332,22.56,,0.06564999999999999,0.08341500000000002,0.09273749999999997,0.2592775,0.3065225,0.21599249999999998,2022-06-13,LANDSAT_9,4849,2023.48486328125,5531,56,2.1737007441483764,0.0,1027,159,0,284.170166015625,300.7142028808594,3.1082838817958396,2.79582153929101,0.47310483928241703,-0.08350123718628488,0.3146235531264937,0.29319906339677126,0.10264261672564076,-0.5721622054816476,0.2764518746221513,10.441958749999998,13.8334065625,17.571711875,38.4181075,54.07950875,38.6444221875,75.68222379992238,-35.23629158166281,38.95671717496346,40.12857370053298,39.78744636741729,-121.2868492041454,35.223101585925875
Calf,CP10,2022-08-03,38.93842396,-120.291037,51.36,,0.036197499999999994,0.057152499999999995,0.05440250000000002,0.23045749999999998,0.19638499999999998,0.12386750000000002,2022-07-07,LANDSAT_8,4847,2024.1837158203125,5526,61,2.301628336015894,0.0,1027,159,0,284.15277099609375,300.70001220703125,4.03232579502209,4.236156426634803,0.6180404409183458,0.07982452543971139,0.342415198485286,0.33647083556303026,-0.03066524299801423,-0.5491593945668787,0.46125254656738873,7.85459625,10.425378749999997,12.037834375000001,34.85717625000001,35.80671,22.729703750000002,102.92873986423811,-3.930552355494399,45.713908270551386,46.974160900310444,14.172098795117913,-117.51952011502408,72.43055873981874
Calf,CP11,2022-08-03,38.938662,-120.291207,169.12,,0.03386,0.05976500000000001,0.046097499999999986,0.323435,0.205955,0.11179499999999998,2022-06-29,LANDSAT_9,4849,2024.6436767578125,5531,58,2.5011839711788606,0.0,1027,159,0,284.16259765625,300.7082824707031,5.411779469589223,7.0163240956667945,0.7505090891870135,0.22191578987136132,0.5150874397319606,0.47842518824770786,-0.1727134352729764,-0.5501655878368207,0.6235091208349376,8.077571875,11.668515000000001,12.882316875000003,44.286739374999996,42.429863749999996,24.725473750000003,109.95255389067606,0.3080108915167834,59.38829678240276,59.352480090948134,9.00568002187066,-119.38796309969878,81.37972883381936
Calf,CP12,2022-08-03,38.93889402,-120.291375,328.64,,0.02890999999999999,0.056987500000000024,0.0416975,0.36281500000000005,0.19061,0.097495,2022-07-07,LANDSAT_8,4850,2026.031982421875,5536,59,2.822043939688783,0.0,1027,159,0,284.17230224609375,300.7164306640625,6.366571616582582,8.701121170333954,0.793838262105621,0.31116230744906725,0.5749950758321845,0.532525808101049,-0.25546345743210497,-0.539676289138622,0.6911952872232869,8.223790000000001,12.001451250000002,13.097346874999998,50.064118750000006,43.19844125,25.002426874999998,118.31177407204018,12.84931653231529,68.6882005372043,67.59274707473284,-2.2493257965369597,-118.06229888173972,91.56744714496247
Calf,CP13,2022-08-03,38.93902796,-120.291088,25.92,,0.0325675,0.059242499999999976,0.046042499999999986,0.34661749999999997,0.20238,0.10670750000000001,2022-07-15,LANDSAT_9,4849,2027.4622802734375,5529,61,2.7432704158431096,0.0,1027,159,0,284.1474914550781,300.6965026855469,5.850824998945016,7.528207634250966,0.7654841338562625,0.2627288831005605,0.545066475170302,0.5050775211166625,-0.20835076062666555,-0.5471146403692344,0.6531076712055678,8.461898749999998,12.409523750000002,13.2350325,49.490338124999994,42.616066875,24.318467500000004,117.90898042845801,13.228271498880183,67.96131800726931,66.79010436765515,-2.4422406093311775,-115.3222924179075,92.34795856873794
Calf,CP14,2022-08-03,38.93879503,-120.290917,98.88,,0.03386,0.05976500000000001,0.046097499999999986,0.323435,0.205955,0.11179499999999998,2022-06-29,LANDSAT_9,4846,2025.4029541015625,5527,64,2.9485023866904756,0.0,1027,159,0,284.1378173828125,300.6883850097656,5.411779469589223,7.0163240956667945,0.7505090891870135,0.22191578987136132,0.5150874397319606,0.47842518824770786,-0.1727134352729764,-0.5501655878368207,0.6235091208349376,8.077571875,11.668515000000001,12.882316875000003,44.286739374999996,42.429863749999996,24.725473750000003,109.95255389067606,0.3080108915167834,59.38829678240276,59.352480090948134,9.00568002187066,-119.38796309969878,81.37972883381936
Calf,CP15,2022-08-03,38.938547,-120.290754,90.4,,0.036775,0.05948999999999999,0.05764750000000002,0.265575,0.22636,0.13398749999999998,2022-07-15,LANDSAT_9,4844,2024.1837158203125,5524,61,2.301628336015894,0.0,1027,160,0,284.1279602050781,300.6800537109375,4.464195663136663,4.606878008586667,0.6432952532698063,0.07971581611391748,0.3891885770759126,0.3788662846314331,-0.03128211031665832,-0.5837677103375897,0.48859862095483864,8.140498749999999,11.406763125,13.097978750000001,39.06831187499999,38.496779375,23.336105000000003,101.19939123275203,0.9314591398723695,50.101251389353635,51.02279864717126,10.2950616674391,-112.20463732399631,76.34714930675607
Calf,CP16,2022-08-03,38.93864599,-120.290454,28.48,,0.042385000000000006,0.0684825,0.06977499999999998,0.2629625,0.24539,0.15783000000000003,2022-07-07,LANDSAT_8,4843,2023.708984375,5519,65,1.8739183855836365,0.0,1027,160,0,284.1106262207031,300.6659240722656,3.839849596612273,3.768720888570406,0.5806003230775011,0.034567549092411255,0.3541540633192176,0.3479863102118015,0.01582159908140445,-0.5636285434372237,0.4157494164584688,8.930600625,12.3872509375,15.038611874999997,38.6497646875,43.24845562499999,28.102672500000004,89.59249975763007,-9.568299562765707,44.608937347630594,45.897923736617834,20.28076316780795,-111.70825547405748,61.708525441437594
Calf,CP17,2022-08-03,38.93888597,-120.290654,125.28,,0.036390000000000006,0.06292750000000003,0.05451250000000002,0.3231325,0.24087999999999998,0.14391500000000002,2022-07-23,LANDSAT_8,4844,2024.709716796875,5523,69,2.7327145688926886,0.0,1027,159,0,284.12054443359375,300.6743469238281,5.134996623098007,5.9276771382710365,0.7113029432403447,0.14583453380909112,0.4875905996046562,0.4591036239026029,-0.09792110426543897,-0.5857409708450251,0.5498626919476878,9.534096875,13.380418750000004,14.786053750000004,48.812814375,44.94516625000001,26.594821875,112.96832233256592,7.353005160491261,63.961109392757955,63.274960695894634,3.734534969259105,-115.92021817371669,86.05414696701718
Calf,CP18,2022-08-03,38.93915603,-120.290767,202.56,,0.03600500000000001,0.06603500000000001,0.05500749999999999,0.314525,0.219045,0.12483,2022-07-15,LANDSAT_9,4844,2026.97900390625,5521,67,3.184426788699605,0.0,1027,159,0,284.1131591796875,300.6686096191406,4.7630044673279315,5.717856655910559,0.7022859964955722,0.17894559289315368,0.4720104835644119,0.4476845316305026,-0.12244579379025193,-0.5367265329030447,0.5716254462162065,9.718834999999999,13.812450624999999,15.336885625,49.633703125,45.940033750000005,27.655771875,111.97471204805063,5.248984081124885,63.95242799650889,63.53628426290869,5.843433800054489,-117.13976918382374,83.48248538281523
Calf,CP19,2022-08-03,38.938416,-120.292681,198.72,,0.034629999999999994,0.049699999999999994,0.05201,0.242255,0.206175,0.1354725,2022-07-01,LANDSAT_7,4858,2023.0721435546875,5548,45,1.2390047404546405,0.0,1031,159,0,284.23974609375,300.7709655761719,4.874346076458753,4.657854258796386,0.6465090989414304,0.08045848850433736,0.3673846546010706,0.35928499933901153,-0.03494869830115685,-0.6115290669272107,0.46382729309326454,10.162262083333331,14.040516041666669,17.169399583333334,45.87510499999999,49.937966458333335,32.782336666666666,97.25403253263984,-9.891584879122052,54.599130295992715,54.233373320997075,20.178798569962954,-119.54891036622163,64.45703107501592
Calf,CP20,2022-08-03,38.93820301,-120.292458,122.56,,0.040514999999999995,0.06515500000000002,0.0695,0.2933775,0.24621500000000002,0.14776499999999998,2022-07-23,LANDSAT_8,4858,2023.2607421875,5548,48,1.763445990341192,0.0,1031,159,0,284.23974609375,300.7709655761719,4.5027626429284,4.221258992805756,0.6169506238331117,0.08740392055115664,0.3979294568490204,0.38918183635568204,-0.027982281608509775,-0.581494684780165,0.4768038687778763,10.118478124999996,14.533011875000001,16.913611250000002,50.925542500000006,47.927238125,29.252153125000003,105.18790374556204,5.892046039607279,61.86108370905064,61.73188414177028,7.1831895766472735,-112.70873054353312,80.58364056322804
Calf,CP21,2022-08-03,38.93799497,-120.292262,120.48,,0.03146750000000001,0.05179,0.045410000000000006,0.283945,0.19894250000000002,0.1231525,2022-07-23,LANDSAT_8,4855,2022.4013671875,5543,50,1.5337930979365224,0.0,1031,159,0,284.23016357421875,300.762939453125,5.482622127823904,6.252917859502311,0.7242489107497988,0.1760296135228184,0.4516344021076967,0.4314226115475279,-0.12694612917920903,-0.5868904110954902,0.5620182213913072,8.484105625,12.182896875,13.096089374999998,46.204136875,39.617219999999996,25.30083,115.57553468927249,14.653994961327697,63.4370739269895,62.5337971998551,-2.126271420086487,-110.54012392635195,87.49724012330495
