ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,Blue,Green,Red,NIR,SWIR_1,SWIR_2,NDVI,NDWI,EVI,SAVI,BSI,NDSI,NDPI,Minimum_temperature,Maximum_temperature,NIR_Green,NIR_Red,Days_of_data_acquisition_offset
CH04,Childs,2023-07-21,40.340901,-121.487213,3.142165842,0.1943558,2.536208214,1.485530042,0.0326775,0.0586375,0.0512124999999999,0.2918925,0.2052399999999999,0.0897124999999999,0.7014762244793868,0.1743046370937326,0.4443586957625484,0.4282028928781113,-0.1172372842704027,-0.5555702930336993,0.6214223222097237,280.9124755859375,306.71453857421875,4.977915156683009,5.699633878447646,1
CH05,Childs,2023-07-21,40.340258,-121.486554,14.32546639,1.267876052,2.681967307,7.260146015,0.0292399999999999,0.0586924999999999,0.0547325,0.2966225,0.2444825,0.12384,0.6884490045680294,0.0963583777640199,0.4301895651153236,0.4261853163486442,-0.0426307137914898,-0.6128143811330091,0.5539643385425957,280.92498779296875,306.7168273925781,5.053839928440604,5.419494815694513,1
CH07,Childs,2023-07-21,40.340602,-121.4874,9.573636441,0.611380913,7.387070819,4.613378726,0.0327049999999999,0.0624874999999999,0.0686749999999999,0.2966775,0.2173125,0.120705,0.6240616938436169,0.1544096188641801,0.3894975195429945,0.3952190003495686,-0.070518549815558,-0.5533416726233026,0.5282976733547854,280.91802978515625,306.71826171875,4.747789557911584,4.320021842009465,1
CH08,Childs,2023-07-21,40.340556,-121.485676,6.817928072,0.285084528,0.974448122,2.389122401,0.03969,0.0547599999999999,0.0652099999999999,0.2194849999999999,0.2082649999999999,0.1362149999999999,0.5418957129559705,0.0262302746931619,0.293729580296557,0.2949075755548334,0.0268468975875339,-0.5836137249310903,0.3894216951976532,280.9200744628906,306.71051025390625,4.0081263696128575,3.3658181260542865,1
CH09,Childs,2023-07-21,40.340509,-121.485686,9.910978014,0.644729664,0.196288912,4.484190724,0.0397174999999999,0.0663925,0.07566,0.2822125,0.26563,0.1548324999999999,0.5771678460904373,0.0302687359962032,0.3590241197671195,0.3611594380283784,0.0291909170411024,-0.6000722842578439,0.4372623554780087,280.9200744628906,306.71051025390625,4.250668373686786,3.730009251916469,1
CH10,Childs,2023-07-21,40.340062,-121.485823,16.23858875,1.228434433,0.956179648,7.171199407,0.039745,0.07027,0.0756875,0.306275,0.27168,0.14859,0.6036914618581667,0.0598576013703488,0.3942172073342736,0.3921722862366597,0.0019433577905573,-0.5890042403860214,0.4794478595767167,280.9316711425781,306.7167053222656,4.358545609790808,4.046573080099091,1
CH16,Childs,2023-07-26,40.320583,-121.472817,7.328408999,0.541932044,3.761750665,4.900360704,0.0180474999999999,0.045245,0.0284975,0.3853924999999999,0.1562899999999999,0.070655,0.8622943294111962,0.4229460984986593,0.6278846991204389,0.5857843941831073,-0.3717141752128216,-0.5509961048949313,0.7824120055693365,281.3598937988281,306.8807373046875,8.51790253066637,13.523730151767694,0
CH16B,Childs,2023-07-26,40.320326,-121.472511,12.27615207,0.961152888,1.215047797,6.862209032,0.0192849999999999,0.0515424999999999,0.0305874999999999,0.4314,0.16597,0.0767324999999999,0.8675829973754702,0.4443309841471785,0.6815206209669878,0.6249756363778116,-0.3926310463234414,-0.526073214183093,0.7889603233564446,281.3591003417969,306.8865661621094,8.36979191928991,14.103800572129144,0
CH21,Childs,2023-07-26,40.320671,-121.473366,4.977617235,0.158072137,1.113599468,2.37814021,0.01901,0.0512124999999999,0.0327049999999999,0.4247175,0.1675924999999999,0.077475,0.8570030988856037,0.4341054515372018,0.6629122565523914,0.6141685097227191,-0.3779822211870658,-0.531889125019995,0.7803334288366501,281.3746032714844,306.87432861328125,8.293238955333171,12.986317076899564,0
CH23B,Childs,2023-07-26,40.32096,-121.473246,13.31202486,1.108239492,1.072786923,7.136688898,0.0187624999999999,0.0498375,0.030395,0.403075,0.1562075,0.0704624999999999,0.8597596142754977,0.4414003656470567,0.6448972599480352,0.5988623094475451,-0.3866198803497468,-0.5162464510179815,0.7870772248352195,281.3606872558594,306.8749084472656,8.087785302232254,13.261227175522288,0
