Site,ID,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC,percentN,NDVI_June,NDWI_June,EVI_June,SAVI_June,BSI_June,NDPI_June,NDGI_June,NDVI_Sept,NDWI_Sept,EVI_Sept,SAVI_Sept,BSI_Sept,NDPI_Sept,NDGI_Sept,dBlue,dGreen,dRed,dNIR,dSWIR_1,dSWIR_2,dNDVI,dNDWI,dEVI,dSAVI,dBSI,dNDPI,dNDSI,dNDGI,Cdef,Elevation,AET,Flow,Slope,SWE,Annual_Precipitation,Snow_days,Wet_days,Active_growth_days,Minimum_temperature,Maximum_temperature,SRad,Shallow_Clay,Deep_Clay,Shallow_Sand,Deep_Sand,Shallow_Hydra_Conduc,Deep_Hydra_Conduc,Lithology,Organic_Matter
Castle Valley,CV_C_02,2024-07-26,39.346614,-120.3532044,,,0.116607274,,,0.3775074740542042,0.5345231812059894,0.646603704007141,0.2169791287823254,-0.2397902835437849,0.4327687808143854,0.2657216033327411,0.6482651935149666,0.1990303282543563,0.4070690454376206,0.3957705050280449,-0.1286979610248194,0.5529240895466967,0.3787674546785086,6.7354533482142855,10.825255312499998,9.926021517857144,46.26197433035715,24.4931471875,13.765247901785711,95.65604416042076,40.80035588682041,65.11881354865764,61.28811605644884,-27.884737037196988,85.0405742620707,-63.2529872544382,59.55464138282271,566.2,2235.731201171875,406.2000000000001,11,1.8558275374692788,158,954,207,4,109,275.28515625,285.0704650878906,29509.71125793457,5.759250164031982,6.331898212432861,75.92035675048828,75.40735626220703,8.925099807924916,9.41043212705998,5,2.498537576927327
Castle Valley,CV_D_01,2024-07-26,39.34644041,-120.3519519,,,0.458120828,,,0.3039565466714606,0.4694871344787946,0.55766085800725,0.1501363787928693,-0.1615865730613065,0.3525178382941576,0.1786551279194731,0.5502665621081468,0.085272137082434,0.3195931427461693,0.3212426216608726,-0.0161474920581436,0.4293790560391995,0.261499542155206,8.160071250000001,11.707688125,11.672710130208332,41.266958593750005,27.481491041666665,16.288633828125,88.30260790953666,28.330576069482927,54.10197454060929,53.11642993124597,-15.206031801641572,74.75492717083677,-68.0038070008095,49.08633920239701,568.6,2233.086669921875,405.2000000000001,13,1.7292683655698255,154,953,213,1,121,275.32037353515625,285.0562438964844,29508.78352355957,5.934247970581055,6.224958896636963,73.08194732666016,71.24495697021484,9.027130418944326,9.14024098900187,5,2.511477633737995
Castle Valley,CV_D_03,2024-07-26,39.34610909,-120.3525555,,,0.517973156,,,0.24669813121888637,0.5486770736965272,1.1916016673626273,0.08730519423184,-0.1859644912864187,0.3036575165981851,0.2139239769009027,0.5713280537804424,0.0771047672175497,0.3730786935655936,0.3674027691764497,-0.0154985370473871,0.4511339352352002,0.2890169494648036,10.47144935267857,14.631440401785712,14.642197321428572,52.44779506696429,32.071558839285714,18.315670647321426,92.54144458530531,31.41156748872499,63.72656079549464,62.09331767889579,-18.547727382760165,79.44822525764882,-71.17256106621625,54.69169624774671,568.0,2233.38720703125,405.8,11,1.6391511837601829,155,953,196,0,97,275.3016967773437,285.0726623535156,29510.25773620605,6.158473014831543,6.345879077911377,68.75424194335938,68.6529541015625,8.380003080839892,8.778454967104787,5,2.538135070493692
Castle Valley,CV_E_02,2024-07-26,39.34587805,-120.3515852,,,3.049280219,,,0.28296113569847287,0.5154106401360429,0.936569056991944,0.1160376397472294,-0.1858921976047849,0.3367250854567411,0.2292533424487109,0.6439028289421842,0.1687846398572889,0.4417565313427624,0.4290438680746625,-0.0992873059697659,0.5516056181545189,0.3762137108901863,8.678229401041667,12.675601041666669,11.928440078125,52.20539611979167,28.25622934895833,15.215626223958337,98.13183783233998,41.29234292943762,67.40090353148591,66.17269364159301,-28.071178874595027,87.25310164049935,-68.09659355299522,62.87677353760762,569.9,2230.715087890625,405.0,11,2.210508903612324,151,953,213,1,119,275.3277893066406,285.0634460449219,29509.735076904297,5.674058437347412,6.324193477630615,75.80933380126953,74.27879333496094,8.386076719754728,8.32977129857178,5,2.5035891294477484
Castle Valley,CV_F_02,2024-07-26,39.34513289,-120.3513284,,,0.979501103,,,0.374986276322877,0.4613601816242848,0.370442848762479,0.1884233523195072,-0.1749284286357156,0.4098694651008374,0.2259823988746565,0.7015864684692682,0.252076494504112,0.3939104510331139,0.3852689402028905,-0.1865334679760433,0.6191034943660754,0.4446844127093485,8.121652589285713,11.32124861607143,10.340541651785712,44.28824075892857,21.949997142857143,12.214862098214285,104.19584414442666,48.21618112489939,63.17955244612325,61.352905560430735,-34.01893325315787,93.34859766540887,-66.13737674125386,68.43070549436041,571.3000000000001,2228.26806640625,404.6,9,1.420292636344792,147,953,198,5,133,275.3351745605469,285.070556640625,29510.68934631348,6.604175090789795,6.563078880310059,72.59693145751953,72.44685363769531,8.984588370708364,9.019911604828753,5,2.560838247168695
Castle Valley,CV_F_03,2024-07-26,39.34496654,-120.35135,,,2.132200448,,,0.3802971006550547,0.4444488059315561,0.1866948925427614,0.1904032367547219,-0.1727718213016763,0.4295840251658373,0.2154639600125716,0.6874202646709928,0.2827756006803389,0.3545181638222285,0.3482445705005382,-0.2073334051731213,0.6163691764083029,0.4284377011788478,5.0110109375,7.9317378125,7.1130284375000015,36.31460468750001,18.8021784375,10.3766871875,89.80580331616011,39.48649432693684,53.48441819369995,52.84053529301192,-29.034617732847337,80.30413289986396,-58.91262619562921,59.690655584934674,571.6,2228.556640625,404.6,8,0.9961266548318024,148,953,230,3,115,275.3343811035156,285.0766906738281,29511.36549377441,5.961065292358398,5.847672462463379,74.45743560791016,74.12460327148438,9.660209469674507,10.02186225037653,5,3.0339144552468085
Round Valley,RV_C_01,2024-07-18,39.37006763,-120.3639625,,,0.104946547,,,0.048354834506167045,0.4602763095745897,0.788025805852304,-0.0544984836485679,-0.0708163173158105,0.1325196683002796,0.0190411407174804,0.4714229008883575,0.0623366084854694,0.3077880399920209,0.3073718752268837,0.0147276888183567,0.3728342586908857,0.1879715434126823,8.020174531249998,11.95592984375,13.1576678125,38.89320421875,27.5789909375,17.78353390625,62.45331621305122,19.914335121430124,43.28525088773127,42.20732767708373,-7.745993579182071,53.5181326125589,-51.33183063395957,28.895533729195783,556.7,2387.414306640625,402.6,4,2.97341772580262,204,952,234,0,98,274.94891357421875,284.98699951171875,29467.096237182617,6.518088817596436,6.501226902008057,66.37126922607422,66.24677276611328,10.734674952400372,11.724888586155007,5,2.7222779804574504
Round Valley,RV_D_03,2024-07-18,39.36952519,-120.3650866,,,0.489750552,,,0.13591060823148676,0.4526072208121326,0.403899308004692,0.0475252555228519,-0.1010088187248114,0.2166831306756608,0.0558067058753304,0.4937015808160349,0.0993451734083537,0.3216450737450737,0.3201133938108889,-0.0142022160131268,0.4082978412037049,0.2063416559841568,7.796058437499999,11.724902656250002,12.8029834375,40.97924453125,29.0303828125,18.68062375,67.99860032940055,20.60083970459508,47.74549793935111,46.04700017229404,-8.631251697960444,57.25688053985655,-56.81354246411915,32.62486193291785,557.0,2383.54248046875,403.6,5,1.0105863720435335,198,952,231,0,102,274.9230041503906,284.9950866699219,29469.783630371094,5.664269924163818,5.857021808624268,72.98350524902344,74.04116821289062,7.701613479571109,8.427902438907486,5,2.4822544066238112
Round Valley,RV_E_01,2024-07-18,39.36878674,-120.3651862,,,0.209893093,,,0.08473718524292002,0.464804705512124,0.636992525067278,-0.0236423110125678,-0.0843629352526407,0.1620508676630221,0.0443826606923418,0.5111950825839874,0.0836923736445936,0.3354336725541408,0.3315415024519673,-0.0087858223837173,0.4137165622834946,0.2285659622743333,7.854485625,11.535563437499995,12.1412853125,40.84398062500002,25.196851874999997,15.316376875,67.21338993271307,26.683417355974907,48.19946771848451,46.327868287066416,-14.217911967914342,59.16271819788251,-49.387348478279065,35.23168097197456,557.1,2383.00244140625,404.3,4,1.804376048257228,197,953,244,2,86,274.9166564941406,284.9964904785156,29472.217651367188,5.245491027832031,5.690380573272705,76.08468627929688,75.47106170654297,9.290229854084576,9.078604099821938,5,2.8501101247027787
Round Valley,RV_E_03,2024-07-18,39.36881925,-120.3656209,,,5.245383016,,,0.08531757513368386,0.4574137833052312,0.4193033834364717,-0.0116201696845852,-0.0790842457314167,0.1705354297198021,-0.0263164015335187,0.45984715488253497,0.0718963026052312,0.2852585759865903,0.2874323994578048,0.0112177038230429,0.3737047014519905,0.1784654594149833,8.739595625,12.4892721875,13.74291125,39.2478171875,27.489920625,17.635037812500002,61.33693528830432,20.80040704394175,42.82097455272569,41.69925919318668,-7.808760832313011,52.58508500120892,-49.38874296170488,28.49326289052638,557.3000000000001,2382.577392578125,404.4,5,1.0149329744965372,196,955,243,0,92,274.90728759765625,284.9997863769531,29472.66987609864,5.251076698303223,5.5651631355285645,74.86896514892578,75.69461822509766,8.665405764569138,9.558310429131668,5,2.8496800737638965
Round Valley,RV_F_02,2024-07-18,39.36832418,-120.3662284,,,1.206885288,,,0.12500871799565877,0.4798307817567089,1.073093257617347,-0.0152169524493045,-0.1389817851878246,0.1907371688660254,0.0976315230108341,0.6019233074332039,0.1093895641231666,0.3873162949889707,0.3790010545507132,-0.049254791787199,0.4924272929450387,0.3247369792198838,9.539155390625,13.141803080357144,12.886197823660716,49.89442643973214,26.962592500000003,14.392115870535712,85.07230684059374,35.769426057340254,62.004861810227546,59.30174744539433,-23.670603816687795,76.04645662931894,-59.731805117228674,53.43287522702778,557.3000000000001,2381.8408203125,404.7000000000001,6,1.0004250158231112,192,956,219,5,88,274.8988952636719,285.0025329589844,29473.78094482422,5.422164440155029,5.821675777435303,73.14633178710938,73.348876953125,7.563245258122077,8.319675951114952,5,2.5824937547503675
