ID,Burn_year,Sides
2421,2020,All sides
2422,2020,At least 1 side
2428,2020,All sides
2431,2020,All sides
2437,2020,All sides
2441,2020,All sides
2443,2020,At least 1 side
2444,2020,All sides
2445,2020,At least 1 side
2447,2020,All sides
2448,2020,All sides
2450,2020,All sides
2452,2020,All sides
2454,2020,All sides
2458,2020,All sides
2459,2020,All sides
2462,2020,All sides
2463,2020,All sides
2465,2020,All sides
2467,2020,All sides
2469,2020,All sides
2470,2020,All sides
2471,2020,All sides
2473,2020,All sides
2474,2020,All sides
2475,2020,All sides
2476,2020,All sides
2480,2020,All sides
2482,2020,All sides
2486,2020,All sides
2489,2020,All sides
2490,2017,All sides
2503,2020,All sides
2506,2020,All sides
2509,2020,All sides
2515,2018,All sides
2518,2020,All sides
2519,2015,All sides
2520,2015,All sides
2523,2015,All sides
2524,2015,All sides
2525,2015,All sides
2526,2015,All sides
2527,2015,All sides
2528,2015,All sides
2529,2015,All sides
2555,1989,At least 1 side
2595,2020,At least 1 side
2615,2013,All sides
2616,2013,All sides
2617,2013,All sides
2618,2013,All sides
2623,2020,All sides
2624,2020,All sides
2625,2020,All sides
2626,2020,All sides
2627,2020,All sides
2629,2020,All sides
2630,2020,All sides
2631,2020,All sides
2632,2020,All sides
2633,2020,All sides
2634,2020,All sides
2635,2020,All sides
2636,2020,All sides
2651,2020,All sides
2654,2015,All sides
2655,2015,All sides
2660,2020,All sides
2666,2020,All sides
2667,2020,All sides
2668,2020,All sides
2669,2020,All sides
2670,2020,All sides
2671,2020,All sides
2672,2020,All sides
2673,2020,All sides
2674,2020,All sides
2675,2020,All sides
2676,2020,All sides
2677,2020,At least 1 side
2678,2020,All sides
2679,2020,All sides
2685,2020,All sides
2686,2020,All sides
2687,2020,All sides
2688,2020,All sides
2690,2020,All sides
2691,2020,All sides
2692,2020,All sides
2693,2020,All sides
2694,2020,All sides
2695,2020,All sides
2696,2020,All sides
2697,2020,All sides
2698,2020,All sides
2701,2020,All sides
2702,2020,All sides
2703,2020,At least 1 side
2705,2020,All sides
2706,2020,All sides
2707,2020,All sides
2708,2020,All sides
2709,2020,All sides
2710,2020,All sides
2711,2020,All sides
2712,2020,All sides
2713,2020,All sides
2714,2020,All sides
2715,2020,All sides
2716,2001,All sides
2717,2020,All sides
2719,2020,All sides
2730,2018,All sides
2731,2017,All sides
2732,2017,All sides
2733,2017,All sides
2734,2017,All sides
2739,2008,At least 1 side
2740,2008,At least 1 side
2747,2015,All sides
2748,2015,All sides
2772,2020,All sides
2809,2020,All sides
