ID,Site,SampleDate,Latitude,Longitude,SoilC.kg.m2,SoilN.kg.m2,Roots.kg.m2,percentC
LX11,Lower Dixie,7/18/2016,39.93820396,-120.338482,11.3471777,0.826650801,0.215723458,5.015723237
LX12,Lower Dixie,7/18/2016,39.93839599,-120.33869,12.14995866,0.859558888,0.717134737,4.976808899
LX2,Lower Dixie,7/18/2016,39.93969301,-120.338712,7.918917532,0.559482225,3.848040048,3.076851313
LX3,Lower Dixie,7/18/2016,39.93953803,-120.338442,6.969885561,0.560948119,0.262366367,1.995139076
LX4,Lower Dixie,7/18/2016,39.93929202,-120.338708,6.186286822,0.508734285,0.483920188,2.053979421
LX5,Lower Dixie,7/18/2016,39.93949603,-120.338936,8.91038439,0.702989997,6.314283897,3.718440385
LX6,Lower Dixie,7/18/2016,39.93969703,-120.339184,10.16310309,0.788162928,1.428439109,3.104760155
LX7,Lower Dixie,7/18/2016,39.93859003,-120.338434,12.8026807,0.90287312,0.606357826,5.079098405
LX8,Lower Dixie,7/18/2016,39.938355,-120.338213,14.47897647,1.037464105,0.145759093,5.248172811
LX9,Lower Dixie,7/18/2016,39.93814697,-120.338016,8.424498018,0.609520557,0.903706375,3.114847542
M1,McReynolds,8/9/2016,39.95647299,-120.496834,6.897615461,1.377460968,10.6520745,2.030224187
M10,McReynolds,8/9/2016,39.95878103,-120.486974,23.01332402,1.67613551,3.56818259,9.351742796
M11,McReynolds,8/9/2016,39.95906099,-120.48712,17.62138323,1.406933689,4.640969512,7.973552747
M4,McReynolds,8/9/2016,39.95659696,-120.496731,4.355089526,0.438689232,3.988009217,1.236153233
M5,McReynolds,8/9/2016,39.96023596,-120.488891,5.024347546,0.563543135,2.320484756,1.362092808
M7,McReynolds,8/9/2016,39.960616,-120.488743,13.54147056,1.20844892,4.920826971,4.483869644
M9,McReynolds,8/9/2016,39.95863896,-120.487278,15.05175886,1.265052277,10.29642231,5.88275244
P1,Poco,7/7/2016,39.96934005,-120.5231581,7.664053632,0.533243208,4.186201143,2.678415607
P10,Poco,7/7/2016,39.97230976,-120.5282042,6.450532828,0.499849084,1.008652921,2.644587503
P11,Poco,7/7/2016,39.97209133,-120.5279566,4.554110268,0.34216377,1.684975112,2.058063975
P3,Poco,7/7/2016,39.96953015,-120.5237733,7.998668129,0.524859582,0.874554556,3.063692882
P5,Poco,7/7/2016,39.96969561,-120.5233141,6.941850828,0.517813565,6.564989537,3.060401068
P6,Poco,7/7/2016,39.96957659,-120.5230065,6.022418827,0.589221451,8.197491375,2.696943943
P7,Poco,7/7/2016,39.97169059,-120.5279623,3.843319514,0.370864951,2.565360032,1.266743483
P9,Poco,7/7/2016,39.97208613,-120.5284366,6.654946254,0.585012565,2.01147548,2.124192548
UC1,Upper Clarks,8/4/2016,40.12896904,-120.503472,11.25044291,0.823254369,6.634953901,4.870800774
UC10,Upper Clarks,8/4/2016,40.13574597,-120.508032,12.09169661,0.956426421,10.79783359,4.349239117
UC11,Upper Clarks,8/4/2016,40.135764,-120.508365,11.82362349,1.034946079,11.31673596,4.145340908
UC4,Upper Clarks,8/4/2016,40.12885303,-120.503759,7.156007254,0.702811883,4.955809153,2.260808689
UC6,Upper Clarks,8/4/2016,40.13476001,-120.506502,10.69491919,0.804331356,7.771874824,4.495976926
UC7,Upper Clarks,8/4/2016,40.13472598,-120.506871,7.475499641,0.549624059,9.246956843,2.78552708
UC9,Upper Clarks,8/4/2016,40.13546803,-120.508009,9.703267072,0.824023055,2.833556763,4.02593238
1N,Clover Valley,8/3/2021,39.94892,-120.4254434,,,1.76,
2N,Clover Valley,8/3/2021,39.9494351,-120.4255564,,,1.46,
3N,Clover Valley,8/3/2021,39.9499838,-120.4257127,,,0.79,
4N,Clover Valley,8/3/2021,39.9505136,-120.4258111,,,1.98,
5N,Clover Valley,8/3/2021,39.9510511,-120.4258771,,,3.17,
1W,Clover Valley,8/3/2021,39.9484738,-120.4261028,,,1.15,
2W,Clover Valley,8/3/2021,39.948583,-120.4267888,,,2.74,
3W,Clover Valley,8/3/2021,39.948673,-120.4274898,,,1.7,
4W,Clover Valley,8/3/2021,39.9487455,-120.4281782,,,2.73,
5W,Clover Valley,8/3/2021,39.9488458,-120.4288718,,,1.47,
1E,Clover Valley,8/3/2021,39.9481445,-120.4247053,,,2.17,
2E,Clover Valley,8/3/2021,39.947927,-120.424065,,,1.98,
3E,Clover Valley,8/3/2021,39.9475798,-120.423491,,,2.35,
4E,Clover Valley,8/3/2021,39.9472143,-120.4230205,,,3.14,
5E,Clover Valley,8/3/2021,39.9467815,-120.4226245,,,0.63,
1S,Clover Valley,8/3/2021,39.947781,-120.4254856,,,3.49,
2S,Clover Valley,8/3/2021,39.9472725,-120.4255983,,,1.56,
3S,Clover Valley,8/3/2021,39.9467325,-120.4257421,,,1.85,
4S,Clover Valley,8/3/2021,39.9462052,-120.4259182,,,2.4,
5S,Clover Valley,8/3/2021,39.9456816,-120.426184,,,1.38,
BT12,Bear Trap,10/31/2022,39.64234063,-120.502013,15.13970332,1.011360288,2.023136207,6.205155361
BT12,Bear Trap,,39.64234063,-120.502013,8.782289657,,5.404747158,3.649053587
BT17,Bear Trap,10/31/2022,39.6415073,-120.499287,4.899180711,0.376941677,0.326500368,3.424852333
BT17,Bear Trap,,39.6415073,-120.499287,9.884147159,,0.413955823,6.884637271
BT20,Bear Trap,10/31/2022,39.64204961,-120.500056,7.672221083,0.555808492,0.979501103,4.847404949
BT20,Bear Trap,,39.64204961,-120.500056,7.123822657,,6.664105719,4.410429896
CHU1,Church,7/26/2022,39.67556398,-120.623505,3.497808774,0.514018607,1.521724928,1.402231229
CHU3,Church,7/26/2022,39.67523599,-120.624021,4.727805261,0.46179661,3.62274134,2.764679631
CHU4,Church,7/26/2022,39.67499996,-120.624161,2.147119175,0.323136754,4.349451327,0.848006321
CHU6,Church,7/26/2022,39.67453401,-120.623905,4.115478407,0.478658405,2.316224105,1.684404187
FM1,Freeman,8/3/2021,39.67512962,-120.605471,7.083265173,0.492080834,6.32011426,3.251038893
FM10,Freeman,7/27/2017,39.67479697,-120.604832,7.206332425,0.733951512,2.804404944,2.895545537
FM10,Freeman,8/3/2021,39.67479697,-120.604832,6.305606044,0.414672605,1.171903105,2.366184215
FM12,Freeman,7/27/2017,39.675262,-120.60519,6.809518247,0.656433662,3.031789128,3.66927208
FM12,Freeman,8/3/2021,39.675262,-120.60519,8.038220391,0.697214749,4.092915323,4.740789311
FM14,Freeman,7/27/2017,39.67518322,-120.604698,7.406124147,0.854676494,5.119059337,3.668689198
FM14,Freeman,8/3/2021,39.67518322,-120.604698,8.426710563,0.528530046,2.68779767,3.134760538
FM18,Freeman,7/27/2017,39.67425002,-120.604,14.09427861,1.283194593,5.981953166,8.406265662
FM18,Freeman,8/3/2021,39.67425002,-120.604,11.67761807,1.207100052,3.218360767,8.399669071
FM19,Freeman,8/3/2021,39.6755519,-120.604576,8.992969491,1.124987328,3.294155495,5.336613652
FM24,Freeman,8/3/2021,39.67438147,-120.603687,10.33404857,0.984363281,2.198047118,7.075535085
FM25,Freeman,8/3/2021,39.67394442,-120.603972,12.99870014,1.165467779,3.037619492,7.638403223
FM27,Freeman,8/3/2021,39.67592097,-120.605856,5.013618125,0.327704763,7.398731547,2.961517779
FM28,Freeman,8/3/2021,39.67569583,-120.605703,4.646270865,0.323962888,2.180556027,1.754050788
FM30,Freeman,8/3/2021,39.67409125,-120.605113,9.373852037,0.835688444,6.943963178,13.63745679
